row_index,product_name,isolated_fluency,isolated_grammar,isolated_tone,isolated_length,isolated_grounding
0,Apple iPhone 15 Pro,good,ok,good,ok,good
2,Google Pixel 8 Pro,good,good,good,ok,good
3,Sony WH‑1000XM5 Headphones,good,ok,ok,bad,good
4,Bose QuietComfort Ultra Earbuds,good,ok,good,ok,good
7,Apple MacBook Air 13″ (M3),good,ok,good,ok,good
10,Fitbit Charge 6,good,ok,good,ok,good
11,GoPro HERO12 Black,ok,good,good,ok,good
13,Nintendo Switch OLED,good,good,good,good,good
15,Xbox Series X,good,ok,good,ok,good
16,Instant Pot Duo 6‑Quart,ok,ok,good,bad,ok
18,Vitamix 5200 Blender,good,ok,good,ok,good
22,Stanley Quencher H2.0 40 oz,good,good,good,bad,good
27,The North Face ThermoBall Eco Jacket,ok,ok,good,ok,good
43,Samsung 980 Pro 2 TB NVMe SSD,good,ok,good,bad,good
49,ASUS ProArt PA278QV Monitor,good,ok,good,good,good
